Treatment,Rep,order,SDW (g/plant),RDW (g/plant),SCd (mg/kg),RCd (mg/kg),TF,SBCF,RBCF,ECd (_g/plant),RN,RTN,L (cm),AD (mm),SA (mm2),V (mm3),SPAD,Ci,gs,A,E,WUE
PET2,4,7,0.1771,0.0514,19.1183,13.9403,1.3714,5.5255,4.029,3.3858,1918,1204,581.1237,0.5253,10423.417,2754.407,40.7,358,807,22.9,14.7,1.56
PET2,5,7,0.2011,0.0433,19.2299,14.0149,1.3721,5.5578,4.0506,3.8671,1738,1091,526.5151,0.4759,9443.921,2495.574,40.7,365,891,18.8,13.87,1.31
PET2,6,7,0.2011,0.0402,19.0978,13.9523,1.3688,5.5196,4.0325,3.8402,1820,1110,547.7618,0.4881,10150.613,2776.387,39.7,356,756,21,13.72,1.54
PET5,1,13,0.2169,0.0507,21.9745,14.3763,1.5285,6.351,4.155,4.7663,1570,855,573.2351,0.4143,10476.582,3834.598,36.9,335,414,15.9,11.42,1.54
PET5,2,13,0.2931,0.0725,21.2565,15.5246,1.3692,6.1435,4.4869,6.2303,1620,834,406.1611,0.4965,10483.515,2174.649,35.8,353,600,18.6,13.04,1.43
PET5,3,13,0.3074,0.0699,19.6308,12.7678,1.5375,5.6737,3.6901,6.0345,2056,1566,641.296,0.4917,11322.727,3045.337,39.3,356,563,17.1,13.17,0.94
PET5,4,13,0.1727,0.0748,20.4464,13.7475,1.4873,5.9094,3.9733,3.5311,1857,942,486.1161,0.4469,8988.085,2134.317,42.2,333,601,18.5,12.93,1.89
PET5,5,13,0.2489,0.0633,24.1919,17.0723,1.417,6.9919,4.9342,6.0214,2046,1064,638.3154,0.5351,12165.914,3575.067,35.8,343,580,18.7,10.18,1.84
PET5,6,13,0.2478,0.0662,21.5,14.6977,1.4628,6.2139,4.2479,5.3277,1830,1052,549.0247,0.4769,10687.364,2952.794,38,344,552,17.8,12.15,1.53
PA0.5,1,18,0.3767,0.0506,21.0643,13.6695,1.541,6.0879,3.9507,7.9349,1060,521,327.8044,0.6156,8045.841,3058.687,38.5,392,838,13.7,17.88,0.77
PA0.5,2,18,0.2032,0.0323,20.6137,15.2001,1.3562,5.9577,4.3931,4.1887,1349,619,440.8092,0.4781,9919.968,3329.41,40,355,785,13.1,12.27,1.41
PA0.5,3,18,0.2777,0.0547,19.6664,16.047,1.2255,5.6839,4.6379,5.4613,1600,708,501.8052,0.5793,13270.437,5360.864,39.1,347,687,20.6,12.37,1.67
PA0.5,4,18,0.3237,0.0418,24.5154,16.597,1.4771,7.0854,4.7968,7.9356,1229,581,434.749,0.4888,9063.325,4622.781,38.8,358,791,18,12.15,1.48
PA0.5,5,18,0.2721,0.0547,22.1338,16.2125,1.3652,6.3971,4.6857,6.0226,1547,714,487.2687,0.582,13330.678,3616.093,38,382,856,17.8,15.37,0.97
PA0.5,6,18,0.2907,0.0468,21.5987,15.5452,1.3894,6.2424,4.4928,6.2783,1357,629,438.4873,0.5488,10726.05,3997.567,38.9,367,791,16.6,14.01,1.26
PA2,1,14,0.182,0.0417,25.9477,15.9706,1.6247,7.4993,4.6158,4.7225,668,357,266.0034,0.5281,9436.449,3355.452,37.8,368,820,15.6,13.76,1.22
PA2,2,14,0.1929,0.0541,20.5479,15.1306,1.358,5.9387,4.373,3.9637,1065,555,376.7744,0.5149,9182.771,3075.236,35.5,358,702,15.2,13.1,1.5
PA2,3,14,0.3959,0.0518,21.904,14.7271,1.4873,6.3306,4.2564,8.6718,1938,736,612.3193,0.5859,13690.438,3434.018,35.7,375,715,15.5,13.96,1.04
PA2,4,14,0.1729,0.0479,19.3214,12.1807,1.5862,5.5842,3.5204,3.3407,2266,1027,737.5792,0.5055,12145.63,3077.607,40,360,937,16.1,14.42,1.41
PA2,5,14,0.2411,0.0627,24.7792,14.4753,1.7118,7.1616,4.1836,5.9743,1697,692,590.6059,0.6016,10649.556,3301.991,38,391,803,16.4,15.43,0.8
PA2,6,14,0.2367,0.0516,22.5,14.4969,1.5521,6.5029,4.1898,5.3316,1527,673,516.6564,0.5472,11020.969,3248.86,37.4,370,795,15.8,14.13,1.19
PA5,1,15,0.2097,0.0257,24.4946,15.8345,1.5469,7.0794,4.5764,5.1365,1756,551,486.3712,0.4562,9808.504,2829.734,37.5,364,653,16.2,12.36,1.43
PA5,2,15,0.2443,0.0575,23.4967,13.4012,1.7533,6.791,3.8732,5.7403,1428,810,447.7234,0.5513,9890.468,3050.442,34.7,365,619,17.8,12.04,1.48
PA5,3,15,0.2259,0.0459,20.2184,16.1968,1.2483,5.8435,4.6811,4.5673,1518,890,504.9296,0.4909,11265.283,3983.648,37.9,375,713,16.4,11.92,1.5
PA5,4,15,0.228,0.0443,22.0035,12.4773,1.7635,6.3594,3.6062,5.0168,2576,1216,751.4828,0.5092,14724.638,3606.201,35.2,392,817,19.1,13.12,1.05
PA5,5,15,0.254,0.0712,24.8813,15.1099,1.6467,7.1911,4.367,6.3198,2021,1303,563.572,0.5328,10825.327,2154.478,36.7,354,714,15.6,12.81,1.59
PA5,6,15,0.2324,0.0489,23.0189,14.6039,1.5762,6.6529,4.2208,5.3491,1860,954,550.8158,0.5081,11302.844,3124.9,36.4,370,703,17,12.45,1.41
PVC0.5,1,12,0.2881,0.0439,15.6838,17.0134,0.9219,4.5329,4.9172,4.5185,802,410,300.7557,0.453,5625.281,2324.013,38,346,391,17.2,9.32,2.07
PVC0.5,2,12,0.22,0.0249,16.5831,15.6051,1.0627,4.7928,4.5101,3.6483,837,428,301.135,0.4921,5801.43,1575.538,37.5,361,455,19.6,10.63,1.87
PVC0.5,3,12,0.2775,0.0309,23.4953,13.6547,1.7207,6.7906,3.9465,6.5199,695,402,252.6057,0.4698,4913.747,1275.715,39.6,352,412,18.5,9.11,1.79
PVC0.5,4,12,0.2981,0.0246,18.2375,18.6482,0.978,5.271,5.3896,5.4366,714,347,277.0243,0.4916,5579.66,1512.192,40.7,348,402,19.4,7,2.77
PVC0.5,5,12,0.2767,0.0381,23.6165,21.416,1.1027,6.8256,6.1896,6.5347,1250,611,402.9584,0.4804,8559.067,2092.212,38.7,373,367,18.5,8.35,2.22
PVC0.5,6,12,0.2721,0.0324,19.5232,17.2675,1.1306,5.6426,4.9906,5.3119,860,440,306.8958,0.4774,6095.837,1755.934,38.9,356,405,18.6,8.88,2.14
PVC2,1,8,0.1791,0.0284,23.467,21.3471,1.0993,6.7824,6.1697,4.2029,177,130,94.5736,0.4228,5828.519,1141.488,38.8,395,496,17.4,9.26,2
PVC2,2,8,0.2011,0.0544,23.4175,16.6559,1.406,6.7681,4.8139,4.7093,1709,731,631.3987,0.4598,8622.159,1366.203,37.9,401,454,17.5,9.44,1.85
PVC2,3,8,0.2206,0.0207,20.6334,20.7872,0.9926,5.9634,6.0079,4.5517,688,382,264.248,0.4115,6918.215,1276.336,37,422,549,18.9,10.76,1.72
PVC2,4,8,0.242,0.0413,24.1752,18.4096,1.3132,6.987,5.3207,5.8504,1927,989,595.1499,0.4746,6390.347,1969.432,42.4,387,443,17.9,9.41,1.86
PVC2,5,8,0.1644,0.0249,21.5707,18.9192,1.1401,6.2343,5.468,3.5462,927,487,318.7518,0.4422,6155.238,1712.6,36.3,384,522,17.8,9.78,1.92
PVC2,6,8,0.2014,0.0339,22.6527,19.2238,1.1784,6.547,5.556,4.5632,1086,544,380.8244,0.4422,6782.896,1493.212,38.5,398,493,17.9,9.73,1.87
PVC5,1,2,0.0795,0.0273,18.8486,21.2688,0.8862,5.4476,6.1471,1.4985,871,469,325.5441,0.4692,7688.468,2140.876,37.9,389,612,18.9,11.86,1.64
PVC5,2,2,0.0699,0.0225,27.249,22.1047,1.2327,7.8754,6.3887,1.9047,440,317,196.2441,0.4289,5268.9,2046.884,36.1,377,528,18,9.54,1.82
PVC5,3,2,0.0621,0.0133,27.4596,17.2657,1.5904,7.9363,4.9901,1.7052,952,494,332.5287,0.4751,6241.704,2127.403,38.4,380,551,17.9,11.2,1.6
PVC5,4,2,0.1215,0.0205,22.8732,23.9435,0.9553,6.6108,6.9201,2.7791,878,481,313.5528,0.4687,6505.082,1968.232,34.1,382,597,18.7,12.41,1.51
PVC5,5,2,0.1015,0.0245,24.631,20.9418,1.1762,7.1188,6.0525,2.5,785,440,291.9674,0.4605,6426.039,2070.849,35.7,384,521,18.3,12.45,1.47
PVC5,6,2,0.0869,0.0216,24.2123,21.1049,1.1472,6.9978,6.0997,2.104,785,440,291.9674,0.4605,6426.039,2070.849,36.4,382,562,18.4,11.49,1.61
